stop_id,stop_lat,stop_lon,stop_desc
501501,3.4490791244,-76.5278807871,PETECUY B2
501502,3.4495439865,-76.5280354751,PETECUY B3
519121,3.4499671713,-76.5229059016,Cl 21 entre Kr 9 y 10
519139,3.4480140374,-76.5269718491, Kr 10 entre Cl 15 y 16
519140,3.4489087378,-76.5236496151,Kr 10 entre Cl 19 y 20
519284,3.4474703912,-76.5221466862,Cl 21 entre Kr 11B y 11D
517109,3.4354814662,-76.5388076151,Cl 6 entre Kr 24A y 25
517110,3.4337004558,-76.5388785135,Cl 6 entre Kr 26 y 27
517111,3.4315432621,-76.5389764905,Cl 6 entre Kr 29 y 30
519100,3.4469432713,-76.5485968419,Kr 4 con Cl 8 Oe
519101,3.4462498525,-76.55050982,Kr 4B entre Kr 4 y Cl 12 Oe
519103,3.4462351683,-76.5504248001,Kr 4B entre Cl 12 Oe y 11 Oe
519104,3.4468793579,-76.5486708533,Kr 4 entre Cl 11 Oe y 8 Oe
519105,3.4468971735,-76.5473490603,Kr 4 entre Cl 8 Oe y 7 Oe
519106,3.4454986513,-76.5477268188,Kr 5 con Cl 10 Oe Retorno
519128,3.4453332919,-76.5526381372,Kr 4B entre Cl 12 Oe y 13 Oe
519129,3.4430676463,-76.5539595221,Cl 14 Oe con Cl 13 Oe_1
519130,3.4413749422,-76.5519561549,Cl 14 Oe entre Cl 13 Oe y Kr 24G
519131,3.4421667906,-76.5526180434,Cl 14 Oe con Cl 13 Bis Oe_2
519132,3.443460688,-76.553899223,Cl 14 Oe con Cl 13 Oe_2
519133,3.445233094,-76.5527618307,Kr 4B entre Cl 13 Oe y 12 Oe
519144,3.4421697229,-76.5529658732,Cl 14 Oe con Cl 13 Bis Oe_1
517011,3.4213669906,-76.5374657727,Kr 39 entre Cl 9A y 9
517107,3.4223304177,-76.5381984242,Cl 9 entre Kr 39 y 38
517108,3.4255390384,-76.5376304923,Cl 9 entre Kr 37 y 36
517125,3.4232583915,-76.53472289,Cl 10 entre Kr 33 y 39
519015,3.4262926392,-76.5337480936,Cl 10 entre Kr 32A y 33
519027,3.4274442815,-76.5369331191,Cl 9 entre Kr 32A y 32
519028,3.4296441037,-76.5362655395,Cl 9 entre Kr 31 y 30
519029,3.4323436018,-76.535442942,Cl 9 entre Kr 28 y 27
519107,3.4432631494,-76.5484953174,Cl 10 Oe con Cl 9 Oe
519115,3.4424544948,-76.5486945346,Cl 11 Oe con Kr 24D
519293,3.440870506,-76.5517062526,Cl 14 Oe entre Kr 24G y Cl 13 Oe
519084,3.4407346549,-76.5406640823,Kr 23 entre Cl 2 y 1A
501650,3.435046514,-76.5409223378,MANZANA DEL SABER A1
501651,3.434785536,-76.541072259,MANZANA DEL SABER B1
501652,3.434677527,-76.5412092428,MANZANA DEL SABER A2
501653,3.43515437,-76.540791881,MANZANA DEL SABER B2
517067,3.4312327989,-76.5464592839,Cl 4B entre Kr 36B y 36
517068,3.4313053946,-76.5440324062,Kr 36 entre Cl 4D y 5
517258,3.4320875189,-76.5431733969,Cl 5 entre Kr 34A y 35
517259,3.4297637114,-76.5444250252,Cl 5 entre Kr 36 y 37A
519093,3.4340472385,-76.541992812,Cl 4B entre Kr 27 y 34
519094,3.4346804299,-76.544576814,Kr 34 entre Cl 4 y 3
519095,3.43670528,-76.5453574443,Cl 3 Oe entre Kr 34 y 27
519096,3.4397817368,-76.546774115,Kr 27 entre Cl 5 Oe y Kr 25
519109,3.4368319363,-76.5450271943,Kr 27 entre Cl 3 Oe y 2 Oe
519110,3.435513051,-76.5436121971,Kr 27 entre Cl 3 y 4
519113,3.4410428014,-76.5441322207,Kr 24C entre Kr 22A y Cl 6 Oe
519263,3.4382683964,-76.5457682564,Kr 27 entre Cl 4 Oe y 5 Oe
519282,3.4337321419,-76.5419695853,Cl 5 entre Kr 27 y 34
519086,3.4420744239,-76.5461083435,Kr 24C con Cl 6 Oe
519108,3.4403599348,-76.5474114469,Kr 27 Oe entre Cl 10 Oe y 5 Oe
519264,3.4383050121,-76.545859193,Kr 27 entre Cl 5 Oe y 4 Oe
516041,3.4317461259,-76.5281718129,Dg 23 entre Cl 13 y 12A
519016,3.4259864846,-76.5333480194,Cl 10 entre Kr 33 y 32A
519017,3.4282955484,-76.5327957499,Cl 10 entre Kr 30 y 32
519018,3.4284425911,-76.5320076028,Dg 23 entre Kr 31 y Cl 10B
519019,3.4303844488,-76.5301499774,Dg 23 entre Cl 11 y 10B
519020,3.4302313126,-76.5295092158,Dg 23 entre Cl 10B y 12B
511153,3.3583395239,-76.514487522,Kr 109 entre Cl 49 y 50
511154,3.35816186,-76.5108238394,Kr 109 entre Cl 50 y 53
511356,3.3574674219,-76.5068141319,Kr 109 con Kr 118_1
511411,3.3580948869,-76.5149133288,Cl 49 entre Kr 109 y 111
511503,3.3563036256,-76.5149900752,Cl 49 entre Kr 111 y 112
511504,3.3571473158,-76.5158782218,Cl 48 entre Kr 111 y 109
511570,3.3549557048,-76.5054339998,Cl 60 entre Kr 119 y 119A
511590,3.3567997018,-76.5061429998,Cl 60 entre Kr 118 y 118A
511110,3.341185901,-76.5213173411,Vía Cali - Puerto Tejada P1
511132,3.3293503897,-76.5226809741,Cl 36 entre Kr 128 y 129
511133,3.3273568712,-76.5224040759,Cl 36 entre Kr 129 y 134
511136,3.3305926645,-76.5227211486,Cl 36 entre Kr 129 y 128
511181,3.3264414948,-76.5333513403,Cl 18 entre Kr 137 y 130
511209,3.3243926687,-76.5340843988,Cl 18 con Kr 137_2
511210,3.3290268344,-76.5327812637,Cl 18 entre Kr 130 y 127C_1
511212,3.3325119889,-76.5325657735,Cl 18 entre Kr 127C y 127
511334,3.3333729305,-76.5235531523,Cl 36 entre Kr 127 y 128
511335,3.3229758902,-76.5224388736,Cl 36 entre Kr 134 y 139
511344,3.3332505186,-76.5233498066,Cl 36 entre Kr 128 y 127
511573,3.3530707073,-76.5033789997,Kr 119B entre Cl 60B y y 60
511360,3.3310697142,-76.5326519368,Cl 18 entre Kr 130 y 127C_2
511565,3.3394487381,-76.524298,Cl 25 entre Kr 126 y Tv 131
511566,3.3418427331,-76.524172,Cl 25 con Tv 131
511152,3.3588562559,-76.5218620866,Kr 109 entre Cl 25 y 42
511188,3.3583325865,-76.5205176963,Cl 42 entre Kr 109 y 111
511386,3.3584524979,-76.5203187813,Cl 42 entre Kr 111 y 109
511387,3.3569551427,-76.5203180988,Cl 42 entre Kr 112 y 111
511409,3.3586380444,-76.5184780098,Kr 109 entre Cl 43 y 44
511410,3.3585520388,-76.5170643911,Kr 109 entre Cl 46 y 48
511413,3.3569809855,-76.5205176523,Cl 42 entre Kr 111 y 112
511414,3.3546793008,-76.5205191252,Cl 42 entre Kr 113 y 115
511505,3.3572176572,-76.5163890317,Cl 48 entre Kr 109 y 111
511506,3.3561774209,-76.5175841559,Kr 112 entre Cl 46 y 44
511507,3.3562693502,-76.5191176546,Kr 112 entre Cl 44 y 43
511568,3.3568617043,-76.523557,Cl 25 ente Kr 112 y 111
511155,3.3592775454,-76.5030426497,Kr 109 - Comfenalco_1
511159,3.3589816235,-76.5036409071,Kr 109 - Comfenalco_2
511571,3.3535337067,-76.5040509998,Kr 119A entre Cl 60 y y 60B
511572,3.3538417054,-76.5024349997,Cl 60B entre Kr 119A y 119B
511574,3.3530707078,-76.5044679998,Cl 60 entre Kr 119B y 119A
511575,3.3543327057,-76.5049949998,Cl 60 entre Kr 119A y 119
511591,3.3570017015,-76.5061019998,Cl 60 con Kr 118
511024,3.3686726841,-76.511726,Cl 53 entre Kr 99 y 98C
511483,3.3684149099,-76.5122107932,Kr 99 con Cl 53
511494,3.3682244608,-76.5115638425,Kr 99 entre Cl 53 y 54
511502,3.3682135981,-76.5139015167,Kr 99 con Cl 50
511552,3.3693156829,-76.510853,Kr 98C entre Cl 53 y 55
511553,3.3708736802,-76.5091309999,Cl 55 con Kr 98
511555,3.3717196795,-76.511805,Cl 53 entre Kr 96 y 98
511556,3.3703516816,-76.511808,Cl 53 entre Kr 98 y 98B
511557,3.3690416835,-76.511803,Cl 53 entre Kr 98C y 99
511540,3.3670046857,-76.5081019999,Cl 60 entre Kr 98F y 98E
511541,3.3680886836,-76.5066169999,Cl 60 entre Kr 98D y 98C
511542,3.3688416823,-76.5058849998,Cl 60 entre Kr 98C y 98B
511543,3.3710236789,-76.5055469998,Cl 60 entre Kr 98 y 97Bis
511544,3.3724026772,-76.5063489999,Cl 59 con Kr 96
511545,3.3747046739,-76.5060599998,Cl 59 entre Kr 95 y Cl 58
511546,3.3756076726,-76.5056839998,Cl 61 entre Cl 58 y Kr 95
511547,3.3734816753,-76.5050619998,Cl 61 con Kr 95
511548,3.3703996799,-76.5057529998,Cl 60 entre Kr 97Bis y 98
511549,3.3691406818,-76.5059389998,Cl 60 entre Kr 98B y 98C
511550,3.3679946839,-76.5068829999,Cl 60 con Kr 98D
511551,3.366907686,-76.5083599999,Cl 60 con Kr 98F
511493,3.341718346,-76.5217495851,Vía Puerto Tejada con Kr 122
511592,3.3578586998,-76.5057439998,Kr 109 entre Cl 60 y 60 Bis
511593,3.3589526972,-76.5038699998,Kr 109 entre Cl 60 Bis y 60A
511594,3.3606716936,-76.5022149997,Cl 60B entre Kr 109 y 108
511596,3.3589406974,-76.5041399998,Kr 109 entre Cl 60A y 60 Bis
511597,3.3578297,-76.5059659998,Kr 109 entre Cl 60 Bis y 60
511598,3.3608116939,-76.5032819997,Kr 108 entre Cl 60B y 60A
511011,3.380178666,-76.5376060003,Calle 13 con Kr 86
511160,3.3582441141,-76.5109590784,Kr 109 entre Cl 53 y 48_1
511161,3.3584818139,-76.5140391159,Kr 109 entre Cl 53 y 48_2
511357,3.3575642845,-76.5071207045,Kr 109 con Kr 118_2
511162,3.3590867314,-76.5234468917,Kr 109 entre Cl 26 y 25
511412,3.3587657721,-76.5182181752,Kr 109 con Cl 44
511000,3.3816806657,-76.5094789999,Kr 84 entre Cl 54 y 55
511001,3.3816036655,-76.5081869999,Kr 84 entre Cl 55 y 56
511473,3.3791606968,-76.5095229915,Kr 85D entre Cl 55 y 54
511474,3.3795225149,-76.5107109487,Cl 54 entre Kr 85D y 85C
511475,3.3811890404,-76.510626413,Cl 54 entre Kr 84 y 85C
511476,3.3837086636,-76.511595,Cl 53 entre Kr 83E y 83C
511492,3.3794218923,-76.5080008674,Cl 56 entre Kr 85C y 85D
511532,3.3822306654,-76.511641,Cl 53 con Kr 84
511534,3.3804706674,-76.5106569999,Cl 54 con Kr 85C
511535,3.3802476671,-76.5079719999,Cl 56 con Kr 85C
516283,3.3839166976,-76.5137524608,Kr 83C con Cl 50
516285,3.3846543194,-76.5114018607,Kr 83C entre Cl 53 y 53A
516286,3.3841321265,-76.509844481,Cl 54 entre Kr 83E y 83C
516287,3.3829136949,-76.5098975731,Cl 54 entre Kr 83E y 84
511554,3.3722286785,-76.5101509999,Kr 96 entre Cl 55 y 53
511131,3.3308391863,-76.5086872458,Vía Cali - Puerto Tejada P2
511111,3.343029599,-76.523490416,Vía Puerto Tejada entre Cl 25 y Kr 122
511257,3.3464857237,-76.523901,Cl 25 entre Kr 121 y 120
511513,3.3439059972,-76.5206344244,Cl 42 entre Kr 122 y 121A
511514,3.3452177755,-76.5182455043,Kr 121A entre Cl 45 y 47
