route_id,route_short_name,route_desc,route_type
P51A,P51A,TERMINAL AGUABLANCA - TERMINAL SIMÓN BOLÍVAR - UNIVERSIDADES,2
P51B,P51B,TERMINAL AGUABLANCA - CIUDAD CORDOBA - TERMINAL SIMÓN BOLÍVAR - UNIVERSIDADES,2
P51C,P51C,TERMINAL AGUABLANCA - CIUDAD CORDOBA - TERMINAL SIMÓN BOLÍVAR - ESTACIÓN BUITRERA,2
P52A,P52A,TERMINAL AGUABLANCA - TERMINAL ANDRÉS SANÍN - AUTOPISTA ORIENTAL - CENTRO EMPRESAS - TERMINAL MENGA,2
P52D,P52D,CIUDAD CÓRDOBA - CENTRO - TERMINAL DE CALI,2
P60B,P60B,TERMINAL SIMÓN BOLÍVAR - EL LIMONAR - CRISTÓBAL COLÓN - CENTRO,2
P62A,P62A,TERMINAL SIMÓN BOLÍVAR - UNIDAD DEPORTIVA - COMFENALCO - CAM - ESTACIÓN LAS AMERICAS,2
P62D,P62D,TERMINAL SIMÓN BOLÍVAR - EL GUABAL - CENTRO - ESTACIÓN LAS AMÉRICAS,2
P74,P74,ESTACIÓN UNIDAD DEPORTIVA - AUTOPISTA SUR - TERMINAL ANDRÉS SANÍN,2
P82,P82,TERMINAL CALIPSO - OUTLET ÚNICO - SENA SALOMIA - TERMINAL MENGA,2
P82,P82,TERMINAL CALIPSO - ACUAPARQUE DE LA CAÑA - OUTLET ÚNICO - SENA SALOMIA - TERMINAL MENGA,2
T31,T31,TERMINAL PASO DEL COMERCIO - CENTRO - UNIVERSIDADES,1
T40,T40,TERMINAL ANDRÉS SANÍN - CENTRO,1
T47B,T47B,TERMINAL ANDRÉS SANÍN - ESTACIÓN UNIDAD DEPORTIVA,1
T47B,T47B,TERMINAL ANDRÉS SANÍN - ESTACIÓN UNIDAD DEPORTIVA - UNIVERSIDADES,1
T50,T50,TERMINAL AGUABLANCA - TERMINAL CALIPSO - CENTRO,1
T52,T52,TERMINAL AGUABLANCA - TERMINAL ANDRÉS SANÍN - CENTRO - TERMINAL MENGA,1
T57A,T57A,TERMINAL AGUABLANCA - TERMINAL CALIPSO - ESTACIÓN UNIDAD DEPORTIVA - ESTACIÓN CAPRI,1
T57A,T57A,TERMINAL AGUABLANCA - TERMINAL CALIPSO - ESTACIÓN UNIDAD DEPORTIVA - ESTACIÓN CAPRI - UNIVERSIDADES,1
